instrument_name,event_stem,event_id,dynamic,articulation,gesture_type,has_report_dir,has_10_dense_csv,has_10_summary_json,has_10_summary_txt,has_10_clusters_csv,has_10_spectrum_png,has_10_spiral_png,has_50_points_csv,has_50_png,has_50_html,has_55_points_csv,has_55_png,has_55_html,status,issues
Chinese-cymbal,Chinese-cymbal__05_forte_damped,05,forte,damped,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
Chinese-cymbal,Chinese-cymbal__1_crescendo_roll,1,crescendo,roll,roll,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
Chinese-hand-cymbals,Chinese-hand-cymbals__15_forte_struck-together,15,forte,struck-together,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
Chinese-hand-cymbals,Chinese-hand-cymbals__1_mezzo-forte_struck-together,1,mezzo-forte,struck-together,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
Chinese-hand-cymbals,Chinese-hand-cymbals__long_mezzo-forte_rhythm,long,mezzo-forte,rhythm,sustain,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
Chinese-hand-cymbals,Chinese-hand-cymbals__very-long_mezzo-forte_rhythm,very-long,mezzo-forte,rhythm,sustain,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
Thai-gong,Thai-gong__long_forte_damped,long,forte,damped,sustain,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
Thai-gong,Thai-gong__long_forte_undamped,long,forte,undamped,sustain,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
Thai-gong,Thai-gong__long_fortissimo_undamped,long,fortissimo,undamped,sustain,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
agogo-bells,agogo-bells__025_mezzo-forte_struck-singly,025,mezzo-forte,struck-singly,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
agogo-bells,agogo-bells__phrase_mezzo-forte_rhythm,phrase,mezzo-forte,rhythm,phrase,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
banana-shaker,banana-shaker__long_forte_shaken,long,forte,shaken,sustain,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
banana-shaker,banana-shaker__phrase_mezzo-forte_rhythm,phrase,mezzo-forte,rhythm,phrase,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
bass-drum,bass-drum__025_forte_bass-drum-mallet,025,forte,bass-drum-mallet,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
bass-drum,bass-drum__025_mezzo-forte_bass-drum-mallet,025,mezzo-forte,bass-drum-mallet,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
bass-drum,bass-drum__025_mezzo-forte_rute,025,mezzo-forte,rute,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
bass-drum,bass-drum__05_mezzo-forte_rute,05,mezzo-forte,rute,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
bass-drum,bass-drum__15_mezzo-piano_rhythm,15,mezzo-piano,rhythm,rhythm,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
bass-drum,bass-drum__15_pianissimo_rhythm,15,pianissimo,rhythm,rhythm,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
bass-drum,bass-drum__1_fortissimo_struck-singly,1,fortissimo,struck-singly,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
bass-drum,bass-drum__1_mezzo-forte_bass-drum-mallet,1,mezzo-forte,bass-drum-mallet,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
bass-drum,bass-drum__1_mezzo-forte_flam,1,mezzo-forte,flam,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
bass-drum,bass-drum__1_mezzo-piano_flam,1,mezzo-piano,flam,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
bass-drum,bass-drum__1_mezzo-piano_struck-singly,1,mezzo-piano,struck-singly,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
bass-drum,bass-drum__1_pianissimo_struck-singly,1,pianissimo,struck-singly,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
bass-drum,bass-drum__long_crescendo_bass-drum-mallet,long,crescendo,bass-drum-mallet,sustain,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
bass-drum,bass-drum__phrase_forte_rute,phrase,forte,rute,phrase,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
bass-drum,bass-drum__phrase_mezzo-forte_rute,phrase,mezzo-forte,rute,phrase,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
bass-drum,bass-drum__phrase_mezzo-forte_sticks,phrase,mezzo-forte,sticks,phrase,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
bass-drum,bass-drum__phrase_mezzo-piano_rhythm,phrase,mezzo-piano,rhythm,phrase,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
bass-drum,bass-drum__phrase_mezzo-piano_rute,phrase,mezzo-piano,rute,phrase,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
bell-tree,bell-tree__025_forte_struck-singly,025,forte,struck-singly,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
bell-tree,bell-tree__long_forte_glissando,long,forte,glissando,sustain,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
bell-tree,bell-tree__long_mezzo-forte_glissando,long,mezzo-forte,glissando,sustain,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
cabasa,cabasa__025_mezzo-forte_effect,025,mezzo-forte,effect,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
cabasa,cabasa__phrase_mezzo-forte_effect,phrase,mezzo-forte,effect,phrase,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
castanets,castanets__025_mezzo-forte_struck-singly,025,mezzo-forte,struck-singly,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
castanets,castanets__long_mezzo-forte_roll,long,mezzo-forte,roll,sustain,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
castanets,castanets__phrase_forte_rhythm,phrase,forte,rhythm,phrase,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
castanets,castanets__phrase_mezzo-forte_roll,phrase,mezzo-forte,roll,phrase,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
clash-cymbals,clash-cymbals__025_mezzo-forte_undamped,025,mezzo-forte,undamped,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
clash-cymbals,clash-cymbals__05_forte_damped,05,forte,damped,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
clash-cymbals,clash-cymbals__15_fortissimo_struck-together,15,fortissimo,struck-together,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
clash-cymbals,clash-cymbals__1_forte_damped,1,forte,damped,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
clash-cymbals,clash-cymbals__1_piano_struck-together,1,piano,struck-together,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
clash-cymbals,clash-cymbals__long_forte_undamped,long,forte,undamped,sustain,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
clash-cymbals,clash-cymbals__long_fortissimo_struck-together,long,fortissimo,struck-together,sustain,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
cowbell,cowbell__025_mezzo-forte_damped,025,mezzo-forte,damped,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
cowbell,cowbell__1_forte_undamped,1,forte,undamped,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
cowbell,cowbell__1_mezzo-forte_undamped,1,mezzo-forte,undamped,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
cowbell,cowbell__long_mezzo-forte_rhythm,long,mezzo-forte,rhythm,sustain,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
djembe,djembe__05_forte_undamped,05,forte,undamped,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
djembe,djembe__phrase_fortissimo_rhythm,phrase,fortissimo,rhythm,phrase,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
djembe,djembe__phrase_mezzo-forte_rhythm,phrase,mezzo-forte,rhythm,phrase,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
djundjun,djundjun__05_mezzo-forte_medium-sticks,05,mezzo-forte,medium-sticks,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
djundjun,djundjun__05_mezzo-forte_struck-singly,05,mezzo-forte,struck-singly,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
djundjun,djundjun__1_mezzo-forte_rhythm,1,mezzo-forte,rhythm,rhythm,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
djundjun,djundjun__phrase_mezzo-forte_rhythm,phrase,mezzo-forte,rhythm,phrase,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
flexatone,flexatone__05_forte_shaken,05,forte,shaken,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
flexatone,flexatone__very-long_forte_effect,very-long,forte,effect,sustain,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
guiro,guiro__025_mezzo-forte_struck-singly,025,mezzo-forte,struck-singly,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
guiro,guiro__05_mezzo-forte_scraped,05,mezzo-forte,scraped,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
guiro,guiro__1_mezzo-forte_scraped,1,mezzo-forte,scraped,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
guiro,guiro__phrase_mezzo-forte_scraped,phrase,mezzo-forte,scraped,phrase,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
lemon-shaker,lemon-shaker__long_forte_shaken,long,forte,shaken,sustain,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
lemon-shaker,lemon-shaker__long_mezzo-forte_shaken,long,mezzo-forte,shaken,sustain,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
lemon-shaker,lemon-shaker__phrase_mezzo-forte_rhythm,phrase,mezzo-forte,rhythm,phrase,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
motor-horn,motor-horn__05_forte_squeezed,05,forte,squeezed,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
ratchet,ratchet__025_forte_clean,025,forte,clean,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
ratchet,ratchet__long_forte_roll,long,forte,roll,sustain,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
sheeps-toenails,sheeps-toenails__025_mezzo-forte_shaken,025,mezzo-forte,shaken,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
sheeps-toenails,sheeps-toenails__very-long_mezzo-forte_shaken,very-long,mezzo-forte,shaken,sustain,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
sizzle-cymbal,sizzle-cymbal__long_mezzo-piano_sticks,long,mezzo-piano,sticks,sustain,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
sleigh-bells,sleigh-bells__05_mezzo-forte_shaken,05,mezzo-forte,shaken,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
sleigh-bells,sleigh-bells__long_forte_shaken,long,forte,shaken,sustain,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
sleigh-bells,sleigh-bells__long_mezzo-forte_shaken,long,mezzo-forte,shaken,sustain,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
sleigh-bells,sleigh-bells__very-long_mezzo-forte_shaken,very-long,mezzo-forte,shaken,sustain,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
snare-drum,snare-drum__025_forte_with-snares,025,forte,with-snares,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
snare-drum,snare-drum__025_fortissimo_with-snares,025,fortissimo,with-snares,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
snare-drum,snare-drum__025_mezzo-forte_with-snares,025,mezzo-forte,with-snares,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
snare-drum,snare-drum__long_forte_roll,long,forte,roll,sustain,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
snare-drum,snare-drum__long_mezzo-forte_rhythm,long,mezzo-forte,rhythm,sustain,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
snare-drum,snare-drum__long_mezzo-forte_roll,long,mezzo-forte,roll,sustain,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
snare-drum,snare-drum__phrase_cresc-decresc_rhythm,phrase,cresc-decresc,rhythm,phrase,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
snare-drum,snare-drum__phrase_crescendo_flam,phrase,crescendo,flam,phrase,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
snare-drum,snare-drum__phrase_decrescendo_roll,phrase,decrescendo,roll,phrase,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
snare-drum,snare-drum__phrase_mezzo-forte_rhythm,phrase,mezzo-forte,rhythm,phrase,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
snare-drum,snare-drum__phrase_mezzo-forte_without-snares,phrase,mezzo-forte,without-snares,phrase,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
snare-drum,snare-drum__very-long_cresc-decresc_roll,very-long,cresc-decresc,roll,sustain,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
spring-coil,spring-coil__05_mezzo-forte_struck-singly,05,mezzo-forte,struck-singly,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
spring-coil,spring-coil__1_mezzo-forte_glissando,1,mezzo-forte,glissando,glissando,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
spring-coil,spring-coil__1_mezzo-forte_struck-singly,1,mezzo-forte,struck-singly,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
spring-coil,spring-coil__long_forte_glissando,long,forte,glissando,sustain,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
spring-coil,spring-coil__long_forte_struck-singly,long,forte,struck-singly,sustain,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
squeaker,squeaker__05_forte_squeezed,05,forte,squeezed,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
strawberry-shaker,strawberry-shaker__long_forte_shaken,long,forte,shaken,sustain,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
strawberry-shaker,strawberry-shaker__phrase_mezzo-forte_rhythm,phrase,mezzo-forte,rhythm,phrase,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
surdo,surdo__05_forte_damped,05,forte,damped,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
surdo,surdo__05_forte_undamped,05,forte,undamped,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
surdo,surdo__15_forte_damped,15,forte,damped,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
surdo,surdo__phrase_forte_rhythm,phrase,forte,rhythm,phrase,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
suspended-cymbal,suspended-cymbal__05_mezzo-forte_damped,05,mezzo-forte,damped,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
suspended-cymbal,suspended-cymbal__1_forte_scraped,1,forte,scraped,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
suspended-cymbal,suspended-cymbal__long_forte_vibe-mallet-undamped,long,forte,vibe-mallet-undamped,sustain,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
suspended-cymbal,suspended-cymbal__very-long_cresc-decresc_roll,very-long,cresc-decresc,roll,sustain,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
swanee-whistle,swanee-whistle__05_forte_effect,05,forte,effect,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
swanee-whistle,swanee-whistle__1_forte_effect,1,forte,effect,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
swanee-whistle,swanee-whistle__very-long_forte_effect,very-long,forte,effect,sustain,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
tam-tam,tam-tam__long_forte_scraped,long,forte,scraped,sustain,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
tam-tam,tam-tam__long_fortissimo_damped,long,fortissimo,damped,sustain,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
tam-tam,tam-tam__long_mezzo-piano_undamped,long,mezzo-piano,undamped,sustain,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
tam-tam,tam-tam__phrase_mezzo-piano_rimshot,phrase,mezzo-piano,rimshot,phrase,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
tambourine,tambourine__025_forte_hand,025,forte,hand,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
tambourine,tambourine__025_fortissimo_hand,025,fortissimo,hand,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
tambourine,tambourine__05_forte_hand,05,forte,hand,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
tambourine,tambourine__1_mezzo-piano_shaken,1,mezzo-piano,shaken,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
tambourine,tambourine__long_cresc-decresc_shaken,long,cresc-decresc,shaken,sustain,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
tambourine,tambourine__phrase_crescendo_hand,phrase,crescendo,hand,phrase,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
tambourine,tambourine__phrase_decrescendo_hand,phrase,decrescendo,hand,phrase,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
tambourine,tambourine__phrase_forte_hand,phrase,forte,hand,phrase,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
tambourine,tambourine__phrase_mezzo-forte_body,phrase,mezzo-forte,body,phrase,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
tambourine,tambourine__phrase_mezzo-forte_hand,phrase,mezzo-forte,hand,phrase,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
tambourine,tambourine__phrase_mezzo-piano_shaken,phrase,mezzo-piano,shaken,phrase,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
tenor-drum,tenor-drum__phrase_forte_damped,phrase,forte,damped,phrase,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
tenor-drum,tenor-drum__phrase_forte_undamped,phrase,forte,undamped,phrase,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
tom-toms,tom-toms__05_mezzo-forte_struck-singly,05,mezzo-forte,struck-singly,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
tom-toms,tom-toms__phrase_forte_medium-sticks,phrase,forte,medium-sticks,phrase,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
train-whistle,train-whistle__025_forte_clean,025,forte,clean,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
train-whistle,train-whistle__1_forte_effect,1,forte,effect,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
train-whistle,train-whistle__long_forte_clean,long,forte,clean,sustain,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
triangle,triangle__long_decrescendo_roll,long,decrescendo,roll,sustain,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
triangle,triangle__long_piano_struck-singly,long,piano,struck-singly,sustain,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
triangle,triangle__phrase_mezzo-piano_damped,phrase,mezzo-piano,damped,phrase,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
triangle,triangle__phrase_mezzo-piano_rhythm,phrase,mezzo-piano,rhythm,phrase,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
triangle,triangle__very-long_mezzo-forte_roll,very-long,mezzo-forte,roll,sustain,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
vibraslap,vibraslap__05_forte_damped,05,forte,damped,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
vibraslap,vibraslap__1_forte_damped,1,forte,damped,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
vibraslap,vibraslap__very-long_forte_undamped,very-long,forte,undamped,sustain,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
washboard,washboard__025_forte_scraped,025,forte,scraped,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
washboard,washboard__05_forte_scraped,05,forte,scraped,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
washboard,washboard__phrase_forte_scraped,phrase,forte,scraped,phrase,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
whip,whip__025_forte_struck-together,025,forte,struck-together,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
whip,whip__025_fortissimo_struck-together,025,fortissimo,struck-together,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
whip,whip__025_mezzo-forte_struck-together,025,mezzo-forte,struck-together,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
whip,whip__phrase_forte_struck-together,phrase,forte,struck-together,phrase,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
wind-chimes,wind-chimes__long_mezzo-piano_hand,long,mezzo-piano,hand,sustain,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
woodblock,woodblock__025_mezzo-forte_struck-singly,025,mezzo-forte,struck-singly,single,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
woodblock,woodblock__phrase_mezzo-piano_rhythm,phrase,mezzo-piano,rhythm,phrase,1,1,1,1,1,1,1,1,1,1,1,1,1,OK,
